Item Name|Item Identifier|Stocks Sold|DateTime
Mana Potion|ITM003|12|April 19, 2025
Mana Potion|ITM001|11|April 21, 2025
Health Elixir|ITM002|13|April 22, 2025
Shield of Light|ITM004|10|April 24, 2025
Ring of Speed|ITM005|6|April 25, 2025
Boots of Haste|ITM006|8|April 26, 2025
Magic Scroll|ITM007|14|April 27, 2025
Fire Wand|ITM008|15|April 28, 2025
Lantern|ITM049|2|April 19, 2025
anything|hello world|6|April 19, 2025
Iron Sword|ITM001|21|April 19, 2025
Health Potion|ITM002|23|April 19, 2025
Mana Potion|ITM003|4|April 19, 2025
Leather Armor|ITM004|4|April 19, 2025
Iron Sword|ITM001|2|April 19, 2025
Iron Sword|ITM001|2|April 19, 2025
Plasma Shield|ID004|2|April 19, 2025
Plasma Shield|ID004|12|April 19, 2025
Plasma Shield|ID004|2|April 19, 2025
Echo Drive|ID005|2|April 19, 2025
Plasma Shield|ID004|5|April 19, 2025
Plasma Shield|ID004|6|April 19, 2025
Echo Drive|ID005|23|April 19, 2025
tanginamo|ID004|2|April 19, 2025
Fusion Rod|ID012|60|April 19, 2025
Mana Potion|ITM003|12|April 19, 2025
